VX,VY,VZ,X,Y,Z
0,7.35,1,7100,0,1300
-0.450702801,7.33601234,0.915359111,7086.464536,440.7200321,1357.477178
-1.153870387,7.257598995,0.775590329,7010.3924,1132.245267,1437.596672
-1.878989748,7.101714307,0.621232708,6858.669177,1850.382517,1507.446579
-2.58615213,6.870833492,0.459953774,6633.230648,2555.699563,1562.015634
-3.264407549,6.567970856,0.294178646,6336.6301,3236.89669,1600.233966
-3.9064127,6.196498439,0.125719047,5971.877062,3886.104356,1621.582631
-4.505583978,5.760379888,-0.043672268,5542.678415,4496.113998,1625.761123
-5.055830847,5.264189685,-0.212250008,5053.466538,5060.144447,1612.660773
-5.551554471,4.713095526,-0.378278562,4509.385879,5571.87158,1582.366308
-5.987715276,4.112792467,-0.540053434,3916.225781,6025.528339,1535.157125
-6.359870513,3.469450728,-0.6959153,3280.3605,6415.973553,1471.50561
-6.664208762,2.789664883,-0.844263324,2608.684695,6738.755458,1392.07392
-6.897584837,2.080398848,-0.983569111,1908.539436,6990.172388,1297.708609
-7.057555791,1.348908423,-1.112393905,1187.611508,7167.330676,1189.429981
-7.14240094,0.602683177,-1.229400237,453.8483845,7268.180607,1068.421311
-7.15114075,-0.150634999,-1.333366515,-284.6519919,7291.545652,936.0125325
-7.083549864,-0.903278376,-1.423193078,-1019.698459,7237.138265,793.671808
-6.940165243,-1.647486808,-1.497921879,-1743.168235,7105.566206,642.9766506
-6.722288918,-2.375531115,-1.556740215,-2447.058826,6898.32486,485.6032726
-6.431982031,-3.079810844,-1.598992972,-3123.609502,6617.776196,323.3013447
-6.072053878,-3.752923333,-1.624190032,-3765.39026,6267.116906,157.8732465
-5.646047289,-4.387733982,-1.632013178,-4365.386681,5850.338599,-8.847008941
-5.15821652,-4.977451564,-1.622322291,-4917.083483,5372.177408,-175.016051
-4.613467212,-5.515730977,-1.595158286,-5414.566491,4838.024391,-338.8121306
-4.017356309,-5.99669559,-1.550746159,-5852.542452,4253.894204,-498.4431065
-3.37600674,-6.415045515,-1.489493997,-6226.431972,3626.311147,-652.1790653
-2.696080799,-6.766096682,-1.411993387,-6532.391762,2962.25498,-798.3638493
-1.984682907,-7.045860806,-1.319012368,-6767.367625,2269.0412,-935.4411108
-1.249329968,-7.251078285,-1.21149441,-6929.100594,1554.271976,-1061.962177
-0.497837076,-7.379281372,-1.090545921,-7016.154651,825.7100108,-1176.608317
0.261743206,-7.428824138,-0.95742908,-7027.912743,91.2108067,-1278.199255
1.021206132,-7.398916261,-0.81355066,-6964.574285,-641.3625722,-1365.704332
1.772322378,-7.289641277,-0.660440933,-6827.136267,-1364.258834,-1438.255239
2.506886676,-7.101966757,-0.499746011,-6617.371996,-2069.875192,-1495.147137
3.216845911,-6.837740838,-0.333203696,-6337.79621,-2750.8648,-1535.846821
3.894382808,-6.499680106,-0.162626317,-5991.628128,-3400.196154,-1559.993995
4.532013647,-6.091344318,0.010120795,-5582.746479,-4011.221764,-1567.402305
5.122681982,-5.617098221,0.183141857,-5115.638333,-4577.739847,-1558.058289
5.659840729,-5.08206759,0.354531823,-4595.349205,-5094.043078,-1532.118785
6.137531904,-4.492086352,0.522398352,-4027.431269,-5554.964543,-1489.907611
6.550479248,-3.853604942,0.68489139,-3417.861315,-5955.937136,-1431.908473
