frame_index,satid,frametype,ants.deployment[0],ants.deployment[1],ants.deployment[2],ants.deployment[3],ants.temp[0],ants.temp[1],bob.3v3current,bob.3v3voltage,bob.5voltage,bob.paneltempX+,bob.paneltempX-,bob.paneltempY+,bob.paneltempY-,bob.sunsensor[0],bob.sunsensor[1],bob.sunsensor[2],eps.MPPTmode,eps.batterytemp,eps.batteryvoltage,eps.boostconvertertemp[0],eps.boostconvertertemp[1],eps.boostconvertertemp[2],eps.latchupcount3v3,eps.latchupcount5v,eps.photocurrent,eps.photovoltage[0],eps.photovoltage[1],eps.photovoltage[2],eps.rebootcount,eps.resetcause,eps.softwareerrors,eps.systemcurrent,pa.boardcurr,pa.boardtemp,pa.fwdpwr,pa.revpwr,rf.rxcurrent,rf.rxdoppler,rf.rxrssi,rf.temp,rf.tx3v3current,rf.tx5vcurrent,sw.datavalid[0],sw.datavalid[1],sw.datavalid[2],sw.datavalid[3],sw.datavalid[4],sw.datavalid[5],sw.datavalid[6],sw.deploymentwait,sw.dtmfcmdcount,sw.dtmfcmdsuccess,sw.dtmflastcmd,sw.eclipse,sw.hwabf,sw.safemode,sw.seqnumber,sw.swabf
0,FC1FM,WO11,True,True,True,True,152,152,144,3276,4956,16.44579999999999,15.916599999999988,20.39439999999999,11.285399999999981,7,68,35,1,16,7978,16,15,16,0,0,332,4035,3611,4192,1472,3,0,164,60.8011,153,100.67501408389792,12.864179726290473,25.44,168,182,17.129999999999995,38.796,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888826,False
1,FC1FM,WO1,True,True,True,True,153,153,150,3280,4956,16.238499999999988,15.916599999999988,20.602000000000004,10.867999999999995,980,977,57,1,16,7968,16,16,17,0,0,328,3633,3616,3907,1472,3,0,169,47.6107,152,57.511338972157276,10.089265726747575,25.44,161,182,17.986999999999995,38.160000000000004,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
2,FC1FM,WO2,True,True,True,True,153,153,146,3280,4956,15.823900000000009,15.916599999999988,20.39439999999999,10.867999999999995,11,974,662,1,16,7968,16,16,17,0,0,296,3639,3627,3622,1472,3,0,160,43.2139,152,48.93807243224933,7.659985949627053,25.44,158,182,18.843999999999994,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
3,FC1FM,WO3,True,True,True,True,153,153,142,3276,4956,16.238499999999988,15.916599999999988,20.602000000000004,10.867999999999995,9,114,7,1,16,7968,16,16,17,0,0,320,3711,3734,3639,1472,3,0,169,51.4579,152,69.58430576117375,12.281418502268966,25.44,164,181,17.986999999999995,38.160000000000004,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
4,FC1FM,WO7,True,True,True,True,153,153,147,3276,4956,16.238499999999988,15.916599999999988,20.602000000000004,10.659300000000002,979,445,14,1,16,7968,16,16,17,0,0,309,3633,4237,3633,1472,3,0,169,58.0531,152,87.53042197444853,12.864179726290473,25.44,158,181,17.986999999999995,38.160000000000004,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
5,FC1FM,WO8,True,True,True,True,153,153,140,3280,4956,15.823900000000009,15.916599999999988,20.602000000000004,10.659300000000002,572,976,940,1,16,7978,16,16,17,0,0,324,3862,3616,3801,1472,3,0,164,44.3131,151,51.31487894504958,7.659985949627053,25.44,161,181,17.986999999999995,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
6,FC1FM,WO9,True,True,True,True,153,153,147,3276,4956,16.238499999999988,15.916599999999988,20.602000000000004,10.659300000000002,4,970,15,1,16,7978,16,16,17,0,0,341,3644,4186,3627,1472,3,0,160,47.6107,152,60.09191298291347,10.089265726747575,25.44,158,181,17.986999999999995,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
7,FC1FM,WO10,True,True,True,True,153,153,149,3280,4956,16.238499999999988,15.916599999999988,20.602000000000004,10.659300000000002,980,16,6,1,16,7958,16,16,17,0,0,276,3711,3667,4142,1472,3,0,178,55.3051,151,79.79526602510904,14.696115377882244,25.44,155,181,18.843999999999994,38.796,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
8,FC1FM,WO11,True,True,True,True,153,153,147,3280,4956,15.823900000000009,15.708300000000008,20.602000000000004,10.659300000000002,979,978,622,1,16,7978,16,16,17,0,0,329,3633,3745,3907,1472,3,0,164,47.6107,151,60.09191298291347,8.118324995831008,25.44,158,182,18.843999999999994,36.888,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
9,FC1FM,WO12,True,True,True,True,153,153,144,3280,4956,16.238499999999988,15.708300000000008,20.602000000000004,10.45059999999998,4,974,24,1,16,7978,16,16,17,0,0,331,3633,3694,3655,1472,3,0,160,47.0611,151,58.794331064949645,8.59039909594262,25.44,155,181,17.986999999999995,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
10,FC1FM,HR1,True,True,True,True,153,153,142,3280,4956,16.238499999999988,15.916599999999988,20.80959999999999,10.659300000000002,524,10,5,1,16,7958,16,16,17,0,0,257,3627,3890,3700,1472,3,0,164,47.0611,151,54.989084914946496,9.076231944082043,25.44,153,182,17.986999999999995,37.524,35.616,True,True,True,True,True,True,True,False,13,True,18,True,True,False,888827,False
