frame_index,satid,frametype,ants.deployment[0],ants.deployment[1],ants.deployment[2],ants.deployment[3],ants.temp[0],ants.temp[1],bob.3v3current,bob.3v3voltage,bob.5voltage,bob.paneltempX+,bob.paneltempX-,bob.paneltempY+,bob.paneltempY-,bob.sunsensor[0],bob.sunsensor[1],bob.sunsensor[2],eps.MPPTmode,eps.batterytemp,eps.batteryvoltage,eps.boostconvertertemp[0],eps.boostconvertertemp[1],eps.boostconvertertemp[2],eps.latchupcount3v3,eps.latchupcount5v,eps.photocurrent,eps.photovoltage[0],eps.photovoltage[1],eps.photovoltage[2],eps.rebootcount,eps.resetcause,eps.softwareerrors,eps.systemcurrent,pa.boardcurr,pa.boardtemp,pa.fwdpwr,pa.revpwr,rf.rxcurrent,rf.rxdoppler,rf.rxrssi,rf.temp,rf.tx3v3current,rf.tx5vcurrent,sw.datavalid[0],sw.datavalid[1],sw.datavalid[2],sw.datavalid[3],sw.datavalid[4],sw.datavalid[5],sw.datavalid[6],sw.deploymentwait,sw.dtmfcmdcount,sw.dtmfcmdsuccess,sw.dtmflastcmd,sw.eclipse,sw.hwabf,sw.safemode,sw.seqnumber,sw.swabf
0,FC1FM,WO6,True,True,True,True,157,157,134,3280,4962,12.921699999999987,10.709100000000007,17.695600000000013,3.354799999999983,979,976,939,1,9,8069,8,8,9,0,0,415,3968,4008,3789,1472,3,0,160,41.5651,171,44.35847431510556,8.59039909594262,24.168,162,181,10.274000000000001,36.252,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
1,FC1FM,WO9,True,True,True,True,157,156,144,3280,4962,13.12899999999999,10.917399999999986,17.695600000000013,3.772199999999998,972,977,975,1,9,8069,9,9,9,0,0,457,3857,3784,3661,1472,3,0,215,59.1523,170,90.72780213807594,15.3347075468286,24.168,175,181,10.274000000000001,40.068,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
2,FC1FM,WO10,True,True,True,True,157,156,136,3280,4956,13.336299999999994,10.917399999999986,17.695600000000013,3.772199999999998,272,974,975,1,9,8069,9,9,9,0,0,433,4136,3734,3661,1472,3,0,146,43.7635,170,51.31487894504958,6.784415081640392,24.168,161,181,10.274000000000001,36.888,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
3,FC1FM,WO11,True,True,True,True,157,156,140,3276,4956,13.336299999999994,11.125699999999995,17.695600000000013,3.772199999999998,30,973,974,1,9,8059,9,9,9,0,0,395,4019,3622,3633,1472,3,0,183,61.9003,170,97.30003507131323,15.3347075468286,24.168,157,181,10.274000000000001,39.432,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
4,FC1FM,WO12,True,True,True,True,157,156,142,3276,4962,13.543599999999998,11.125699999999995,17.695600000000013,3.9808999999999912,65,974,975,1,9,8049,9,8,9,0,0,382,4242,3650,4130,1472,3,0,169,66.8467,170,112.95501503436469,17.334579135172444,24.168,152,181,10.274000000000001,40.704,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
5,FC1FM,FM1,True,True,True,True,157,156,133,3280,4956,13.543599999999998,11.334000000000003,17.9032,4.1895999999999844,220,55,882,1,9,8059,9,9,10,0,0,391,3644,3627,4298,1472,3,0,164,59.1523,170,79.79526602510904,12.864179726290473,24.168,151,181,10.274000000000001,37.524,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
6,FC1FM,FM2,True,True,True,True,157,156,151,3280,4956,13.543599999999998,11.334000000000003,17.9032,4.1895999999999844,326,974,334,1,9,8049,9,9,10,0,0,426,3639,3650,4013,1472,3,0,215,98.72349999999999,170,273.3761514783702,32.955723610627636,24.804000000000002,158,180,11.131,44.52,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
7,FC1FM,FM3,True,True,True,True,156,156,136,3280,4956,13.543599999999998,11.334000000000003,17.9032,4.398299999999978,422,976,26,1,9,8069,9,9,10,0,0,428,3706,3650,3739,1472,3,0,160,71.7931,169,129.81550635294897,18.029292962065913,24.168,154,180,11.131,38.796,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
8,FC1FM,HR2,True,True,True,True,156,156,142,3276,4956,13.750900000000001,11.542299999999983,17.9032,4.398299999999978,500,975,53,1,9,8049,9,9,10,0,0,421,3639,3622,3739,1472,3,0,192,83.8843,169,187.67984359812058,25.753106497814205,24.168,147,181,10.274000000000001,41.976,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
9,FC1FM,FM4,True,True,True,True,156,156,138,3280,4956,13.958200000000005,11.542299999999983,17.9032,4.398299999999978,588,976,98,1,9,8059,9,9,10,0,0,434,3706,3650,3739,1472,3,0,174,75.6403,169,141.72810791266252,20.949045696854537,24.804000000000002,152,181,11.131,40.068,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
10,FC1FM,FM6,True,True,True,True,156,156,137,3280,4956,13.958200000000005,11.750599999999991,17.9032,4.606999999999999,731,523,249,1,9,8079,9,9,10,0,0,468,3857,3784,3639,1472,3,0,164,54.2059,169,73.87226402101541,11.712566814752037,24.804000000000002,157,181,11.131,37.524,35.616,True,True,True,True,True,True,True,False,46,True,18,True,True,False,873728,False
