time,w_ref,w_meas,error,u
13:57:59.531,30,33.11,-3.11,35.79
13:57:59.592,30,32.18,-2.18,35.42
13:57:59.640,30,33.31,-3.31,35.13
13:57:59.727,30,33.41,-3.41,35.29
13:57:59.774,30,33.44,-3.44,35.65
13:57:59.848,30,29.34,0.66,51.4
13:57:59.893,30,27.13,2.87,52.18
13:57:59.952,30,27.26,2.74,35.44
13:58:00.044,30,27.4,2.6,35.34
13:58:00.086,30,26.68,3.32,34.69
13:58:00.162,30,27.86,2.14,35.18
13:58:00.308,30,27.76,2.24,36.54
13:58:00.281,30,28.3,1.7,33.33
13:58:00.329,30,28.4,1.6,35.55
13:58:00.387,30,27.65,2.35,34.74
13:58:00.479,30,29.09,0.91,33.78
13:58:00.523,30,38.32,-8.32,-15.64
13:58:00.597,30,28.16,1.84,86.81
13:58:00.658,30,38.29,-8.29,-15.2
13:58:00.704,30,39.93,-9.93,32.29
13:58:00.808,30,39.1,-9.1,34.59
13:58:00.852,30,40.21,-10.21,34.91
13:58:00.915,30,29.31,0.69,85.41
13:58:00.959,30,29.45,0.55,35.23
13:58:01.048,30,29.83,0.17,33.99
13:58:01.122,30,30.5,-0.5,32.56
13:58:01.168,30,30.29,-0.29,36.9
13:58:01.228,30,30.52,-0.52,34.74
13:58:01.302,30,27.08,2.92,53.26
13:58:01.362,30,24.01,5.99,51.56
13:58:01.438,30,25.5,4.5,33.7
13:58:01.481,30,25.82,4.18,34.56
13:58:01.560,30,24.9,5.1,35.75
13:58:01.604,30,25.34,4.66,33.95
13:58:01.678,30,25.57,4.43,34.96
13:58:01.723,30,27,3,33.98
13:58:01.799,30,25.88,4.12,36.69
13:58:01.857,30,27.24,2.76,34.28
13:58:01.933,30,27.44,2.56,35.1
13:58:01.983,30,27.73,2.27,34.62
13:58:02.052,30,27.64,2.36,36.49
13:58:02.113,30,28.03,1.97,34.11
13:58:02.161,30,27.28,2.72,34.79
13:58:02.233,30,27.3,2.7,35.89
13:58:02.278,30,27.64,2.36,34.33
13:58:02.367,30,27.55,2.45,36.47
13:58:02.428,30,27.88,2.12,34.35
13:58:02.472,30,28.99,1.01,35.47
