,cds1,
11:57:56.553,210,0
11:57:56.627,212,0
11:57:56.703,209,0
11:57:56.776,209,0
11:57:56.852,207,0
11:57:56.927,205,0
11:57:57.017,207,0
11:57:57.091,208,0
11:57:57.169,207,0
11:57:57.239,206,0
11:57:57.315,200,0
11:57:57.388,206,0
11:57:57.468,204,0
11:57:57.544,207,0
11:57:57.615,206,0
11:57:57.692,200,0
11:57:57.767,206,0
11:57:57.841,204,0
11:57:57.933,207,0
11:57:58.003,206,0
11:57:58.081,201,0
11:57:58.161,206,0
11:57:58.232,204,0
11:57:58.308,207,0
11:57:58.382,206,0
11:57:58.458,207,0
11:57:58.533,206,0
11:57:58.608,204,0
11:57:58.684,207,0
11:57:58.754,206,0
11:57:58.831,207,0
11:57:58.923,206,0
11:57:58.992,204,0
11:57:59.070,207,0
11:57:59.145,207,0
11:57:59.222,208,0
11:57:59.296,207,0
11:57:59.371,206,0
11:57:59.447,210,0
11:57:59.525,209,0
11:57:59.596,208,0
11:57:59.671,213,0
11:57:59.748,213,0
11:57:59.821,211,0
11:57:59.898,219,0
11:57:59.972,222,0
11:58:00.046,226,0
11:58:00.122,229,0
11:58:00.197,232,0
11:58:00.273,240,0
11:58:00.363,246,0
11:58:00.420,252,0
11:58:00.498,263,0
11:58:00.570,274,0
11:58:00.646,284,0
11:58:00.724,300,0
11:58:00.797,319,1
11:58:00.872,336,1
11:58:00.947,363,1
11:58:01.019,393,1
11:58:01.093,431,1
11:58:01.168,472,0
11:58:01.260,527,0
11:58:01.338,587,0
11:58:01.413,656,0
11:58:01.488,731,0
11:58:01.562,792,0
11:58:01.637,823,0
11:58:01.714,832,0
11:58:01.786,840,0
11:58:01.858,846,0
11:58:01.939,861,0
11:58:02.009,879,0
11:58:02.085,872,0
11:58:02.178,856,0
11:58:02.253,860,0
11:58:02.327,869,0
11:58:02.403,875,0
11:58:02.479,874,0
11:58:02.554,877,0
11:58:02.628,874,0
11:58:02.699,873,0
11:58:02.772,872,0
11:58:02.851,873,0
11:58:02.928,875,0
11:58:02.998,876,0
11:58:03.091,873,0
11:58:03.167,868,0
11:58:03.243,869,0
11:58:03.316,872,0
11:58:03.391,866,0
11:58:03.468,873,0
11:58:03.543,872,0
11:58:03.617,875,0
11:58:03.694,878,0
11:58:03.766,880,0
11:58:03.843,887,0
11:58:03.916,888,0
11:58:04.010,884,0
11:58:04.082,887,0
11:58:04.157,889,0
11:58:04.235,889,0
11:58:04.306,890,0
11:58:04.381,894,0
11:58:04.459,890,0
11:58:04.535,891,0
11:58:04.607,892,0
11:58:04.681,891,0
11:58:04.755,895,0
11:58:04.829,893,0
11:58:04.920,890,0
11:58:04.993,890,0
11:58:05.075,892,0
11:58:05.148,890,0
11:58:05.223,888,0
11:58:05.299,891,0
11:58:05.372,888,0
11:58:05.448,888,0
11:58:05.522,886,0
11:58:05.598,883,0
11:58:05.669,884,0
11:58:05.748,876,0
11:58:05.820,877,0
11:58:05.911,872,0
11:58:05.991,868,0
11:58:06.063,869,0
11:58:06.136,870,0
11:58:06.212,873,0
11:58:06.288,876,0
11:58:06.362,879,0
11:58:06.437,876,0
11:58:06.514,876,0
11:58:06.586,878,0
11:58:06.658,875,0
11:58:06.735,877,0
11:58:06.826,877,0
11:58:06.903,877,0
11:58:06.975,877,0
11:58:07.051,872,0
11:58:07.131,862,0
11:58:07.202,862,0
11:58:07.276,877,0
11:58:07.352,878,0
11:58:07.429,862,0
11:58:07.503,850,0
11:58:07.576,844,0
11:58:07.654,834,0
11:58:07.743,824,0
11:58:07.815,780,0
11:58:07.895,711,0
11:58:07.968,634,0
11:58:08.042,563,0
11:58:08.117,501,0
11:58:08.196,451,1
11:58:08.263,409,1
11:58:08.338,372,1
11:58:08.416,346,1
11:58:08.488,321,1
11:58:08.567,303,0
11:58:08.658,287,0
11:58:08.732,269,0
11:58:08.807,262,0
11:58:08.883,250,0
11:58:08.959,245,0
11:58:09.032,237,0
11:58:09.105,226,0
11:58:09.185,226,0
11:58:09.256,220,0
11:58:09.332,219,0
11:58:09.408,216,0
11:58:09.480,215,0
11:58:09.554,212,0
11:58:09.649,208,0
11:58:09.721,209,0
11:58:09.796,208,0
11:58:09.875,209,0
11:58:09.946,206,0
11:58:10.022,201,0
11:58:10.099,206,0
11:58:10.173,204,0
11:58:10.246,206,0
11:58:10.323,207,0
11:58:10.392,207,0
11:58:10.469,206,0
11:58:10.563,204,0
11:58:10.639,207,0
11:58:10.713,208,0
11:58:10.786,208,0
11:58:10.863,207,0
11:58:10.937,202,0
11:58:11.013,207,0
11:58:11.085,206,0
11:58:11.163,209,0
11:58:11.237,208,0
11:58:11.312,206,0
11:58:11.385,208,0
11:58:11.463,206,0
11:58:11.555,209,0
11:58:11.609,207,0
11:58:11.706,209,0
11:58:11.778,207,0
11:58:11.853,206,0
11:58:11.928,207,0
11:58:11.998,205,0
11:58:12.074,207,0
11:58:12.148,206,0
11:58:12.223,201,0
11:58:12.303,206,0
11:58:12.376,204,0
11:58:12.452,207,0
11:58:12.525,206,0
11:58:12.601,203,0
11:58:12.692,207,0
11:58:12.769,206,0
11:58:12.843,209,0
11:58:12.916,209,0
11:58:12.994,211,0
11:58:13.066,213,0
11:58:13.143,212,0
11:58:13.219,218,0
11:58:13.292,221,0
11:58:13.366,225,0
11:58:13.441,228,0
11:58:13.515,230,0
11:58:13.609,239,0
11:58:13.682,247,0
11:58:13.757,255,0
11:58:13.836,264,0
11:58:13.907,274,0
11:58:13.982,290,0
11:58:14.055,305,0
11:58:14.128,325,1
11:58:14.206,349,1
11:58:14.285,374,1
11:58:14.356,411,1
11:58:14.430,450,1
11:58:14.507,498,0
11:58:14.598,559,0
11:58:14.670,629,0
11:58:14.747,700,0
11:58:14.822,773,0
11:58:14.899,816,0
11:58:14.974,830,0
11:58:15.046,842,0
11:58:15.123,846,0
11:58:15.197,858,0
11:58:15.272,872,0
11:58:15.346,876,0
11:58:15.420,863,0
11:58:15.513,860,0
11:58:15.589,869,0
11:58:15.660,873,0
11:58:15.732,876,0
11:58:15.810,878,0
11:58:15.887,876,0
11:58:15.957,878,0
11:58:16.038,876,0
11:58:16.111,876,0
11:58:16.188,876,0
11:58:16.262,880,0
11:58:16.334,879,0
11:58:16.410,873,0
11:58:16.504,869,0
11:58:16.578,868,0
11:58:16.655,874,0
11:58:16.728,877,0
11:58:16.804,876,0
11:58:16.877,881,0
11:58:16.951,880,0
11:58:17.029,882,0
11:58:17.102,888,0
11:58:17.177,886,0
11:58:17.250,891,0
11:58:17.327,889,0
11:58:17.419,887,0
11:58:17.492,890,0
11:58:17.569,892,0
11:58:17.640,890,0
11:58:17.716,892,0
11:58:17.793,895,0
11:58:17.863,891,0
11:58:17.943,890,0
11:58:18.020,892,0
11:58:18.093,891,0
11:58:18.165,895,0
11:58:18.243,893,0
11:58:18.334,892,0
11:58:18.407,890,0
11:58:18.481,891,0
11:58:18.558,886,0
11:58:18.632,887,0
11:58:18.710,891,0
11:58:18.783,887,0
11:58:18.858,880,0
11:58:18.934,880,0
11:58:19.008,878,0
11:58:19.081,874,0
11:58:19.155,874,0
11:58:19.251,873,0
11:58:19.323,867,0
