일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00170,0.0000,0.00000
2,0.009,0.0000,0.00200,0.00200,0.0000,0.00139
3,0.024,0.0000,0.00240,0.00240,0.0000,0.00166
4,0.041,0.0000,0.00280,0.00280,0.0000,0.00194
5,0.057,0.0000,0.00320,0.00320,0.0000,0.00222
6,0.072,0.0000,0.00350,0.00350,0.0000,0.00243
7,0.089,0.0000,0.00390,0.00390,0.0000,0.00270
8,0.105,0.0000,0.00430,0.00430,0.0000,0.00298
9,0.120,0.0000,0.00470,0.00470,0.0000,0.00326
10,0.137,0.0000,0.00510,0.00510,0.0000,0.00354
11,0.152,0.0000,0.00550,0.00550,0.0000,0.00381
12,0.169,0.0000,0.00590,0.00590,0.0000,0.00409
13,0.185,0.0000,0.00620,0.00620,0.0000,0.00430
14,0.202,0.0000,0.00660,0.00660,0.0000,0.00458
15,0.217,0.0000,0.00700,0.00700,0.0000,0.00485
16,0.232,0.0000,0.00740,0.00740,0.0000,0.00513
17,0.249,0.0000,0.00780,0.00780,0.0000,0.00541
18,0.265,0.0000,0.00820,0.00820,0.0000,0.00569
19,0.281,0.0000,0.00850,0.00850,0.0000,0.00589
20,0.296,0.0000,0.00890,0.00890,0.0000,0.00617
21,0.314,0.0000,0.00930,0.00930,0.0000,0.00645
22,0.328,0.0000,0.00970,0.00970,0.0000,0.00673
23,0.345,0.0000,0.01000,0.01000,0.0000,0.00693
24,0.361,0.0000,0.01040,0.01040,0.0000,0.00721
25,0.377,0.0000,0.01080,0.01080,0.0000,0.00749
26,0.393,0.0000,0.01120,0.01120,0.0000,0.00777
27,0.409,0.0000,0.01160,0.01160,0.0000,0.00804
28,0.426,0.0000,0.01200,0.01200,0.0000,0.00832
29,0.441,0.0000,0.01240,0.01240,0.0000,0.00860
30,0.457,0.0000,0.01270,0.01270,0.0000,0.00881
31,0.473,0.0000,0.01310,0.01310,0.0000,0.00908
32,0.489,0.0000,0.01350,0.01350,0.0000,0.00936
33,0.505,0.0000,0.01390,0.01390,0.0000,0.00964
34,0.521,0.0000,0.01430,0.01430,0.0000,0.00992
35,0.537,0.0000,0.01470,0.01470,0.0000,0.01019
36,0.554,0.0000,0.01510,0.01510,0.0000,0.01047
37,0.569,0.0000,0.01540,0.01540,0.0000,0.01068
38,0.586,0.0000,0.01580,0.01580,0.0000,0.01096
39,0.602,0.0000,0.01620,0.01620,0.0000,0.01123
40,0.617,0.0000,0.01660,0.01660,0.0000,0.01151
41,0.634,0.0000,0.01690,0.01690,0.0000,0.01172
42,0.649,0.0000,0.01730,0.01730,0.0000,0.01200
43,0.665,0.0000,0.01770,0.01770,0.0000,0.01227
44,0.681,0.0000,0.01810,0.01810,0.0000,0.01255
45,0.698,0.0000,0.01840,0.01840,0.0000,0.01276
46,0.713,0.0000,0.01880,0.01880,0.0000,0.01304
