일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00580,0.0000,0.00000
2,0.005,0.0000,0.00710,0.00710,0.0000,0.01420
3,0.022,0.0000,0.00840,0.00840,0.0000,0.01680
4,0.038,0.0000,0.00970,0.00970,0.0000,0.01940
5,0.053,0.0000,0.01110,0.01110,0.0000,0.02220
6,0.069,0.0000,0.01240,0.01240,0.0000,0.02480
7,0.085,0.0000,0.01380,0.01380,0.0000,0.02760
8,0.102,0.0110,0.01510,0.01510,0.0002,0.03020
9,0.118,0.0122,0.01640,0.01640,0.0003,0.03280
10,0.135,0.0128,0.01780,0.01780,0.0003,0.03560
11,0.149,0.0135,0.01910,0.01910,0.0003,0.03820
12,0.166,0.0141,0.02050,0.02050,0.0003,0.04100
13,0.181,0.0159,0.02180,0.02180,0.0003,0.04360
14,0.198,0.0177,0.02310,0.02310,0.0004,0.04620
15,0.213,0.0190,0.02450,0.02450,0.0004,0.04900
16,0.229,0.0208,0.02580,0.02580,0.0005,0.05160
17,0.246,0.0220,0.02720,0.02720,0.0005,0.05440
18,0.261,0.0232,0.02850,0.02850,0.0005,0.05700
19,0.277,0.0245,0.02980,0.02980,0.0005,0.05960
20,0.293,0.0251,0.03110,0.03110,0.0005,0.06220
21,0.309,0.0257,0.03250,0.03250,0.0006,0.06500
22,0.326,0.0275,0.03380,0.03380,0.0006,0.06760
23,0.342,0.0275,0.03510,0.03510,0.0006,0.07020
24,0.357,0.0294,0.03640,0.03640,0.0006,0.07280
25,0.374,0.0306,0.03780,0.03780,0.0007,0.07560
26,0.390,0.0318,0.03910,0.03910,0.0007,0.07820
27,0.405,0.0330,0.04050,0.04050,0.0007,0.08100
28,0.421,0.0342,0.04180,0.04180,0.0007,0.08360
29,0.438,0.0355,0.04310,0.04310,0.0008,0.08620
30,0.453,0.0373,0.04440,0.04440,0.0008,0.08880
31,0.470,0.0385,0.04570,0.04570,0.0008,0.09140
32,0.485,0.0397,0.04710,0.04710,0.0009,0.09420
33,0.502,0.0404,0.04840,0.04840,0.0009,0.09680
34,0.518,0.0410,0.04970,0.04970,0.0009,0.09940
35,0.534,0.0434,0.05110,0.05110,0.0009,0.10220
36,0.550,0.0452,0.05240,0.05240,0.0010,0.10480
37,0.566,0.0465,0.05380,0.05380,0.0010,0.10760
38,0.582,0.0477,0.05510,0.05510,0.0010,0.11020
39,0.598,0.0489,0.05640,0.05640,0.0011,0.11280
40,0.614,0.0495,0.05770,0.05770,0.0011,0.11540
41,0.631,0.0507,0.05910,0.05910,0.0011,0.11820
42,0.645,0.0514,0.06040,0.06040,0.0011,0.12080
43,0.662,0.0526,0.06180,0.06180,0.0011,0.12360
44,0.678,0.0538,0.06310,0.06310,0.0012,0.12620
