일련번호,시간,하중,변위,테이블,강도,변형율
,[sec],[kN],[mm],[mm],[kN/mm²],[%]
1,0.000,0.0000,0.00000,0.00580,0.0000,0.00000
2,0.008,0.0000,0.00710,0.00710,0.0000,0.01420
3,0.024,0.0000,0.00850,0.00850,0.0000,0.01700
4,0.041,0.0000,0.00980,0.00980,0.0000,0.01960
5,0.057,0.0000,0.01110,0.01110,0.0000,0.02220
6,0.074,0.0000,0.01250,0.01250,0.0000,0.02500
7,0.089,0.0000,0.01380,0.01380,0.0000,0.02760
8,0.104,0.0000,0.01510,0.01510,0.0000,0.03020
9,0.120,0.0000,0.01640,0.01640,0.0000,0.03280
10,0.137,0.0000,0.01780,0.01780,0.0000,0.03560
11,0.152,0.0104,0.01920,0.01920,0.0002,0.03840
12,0.169,0.0116,0.02050,0.02050,0.0003,0.04100
13,0.186,0.0104,0.02180,0.02180,0.0002,0.04360
14,0.201,0.0122,0.02310,0.02310,0.0003,0.04620
15,0.217,0.0134,0.02440,0.02440,0.0003,0.04880
16,0.233,0.0147,0.02580,0.02580,0.0003,0.05160
17,0.249,0.0153,0.02710,0.02710,0.0003,0.05420
18,0.265,0.0165,0.02840,0.02840,0.0004,0.05680
19,0.281,0.0171,0.02970,0.02970,0.0004,0.05940
20,0.298,0.0183,0.03110,0.03110,0.0004,0.06220
21,0.313,0.0189,0.03240,0.03240,0.0004,0.06480
22,0.329,0.0202,0.03380,0.03380,0.0004,0.06760
23,0.345,0.0214,0.03510,0.03510,0.0005,0.07020
24,0.362,0.0214,0.03640,0.03640,0.0005,0.07280
25,0.377,0.0208,0.03770,0.03770,0.0004,0.07540
26,0.393,0.0226,0.03910,0.03910,0.0005,0.07820
27,0.410,0.0244,0.04040,0.04040,0.0005,0.08080
28,0.425,0.0257,0.04180,0.04180,0.0006,0.08360
29,0.442,0.0269,0.04310,0.04310,0.0006,0.08620
30,0.457,0.0281,0.04440,0.04440,0.0006,0.08880
31,0.473,0.0287,0.04580,0.04580,0.0006,0.09160
32,0.489,0.0299,0.04710,0.04710,0.0006,0.09420
33,0.505,0.0306,0.04850,0.04850,0.0007,0.09700
34,0.522,0.0312,0.04980,0.04980,0.0007,0.09960
35,0.538,0.0324,0.05110,0.05110,0.0007,0.10220
36,0.554,0.0312,0.05240,0.05240,0.0007,0.10480
37,0.569,0.0330,0.05380,0.05380,0.0007,0.10760
38,0.585,0.0348,0.05510,0.05510,0.0008,0.11020
39,0.601,0.0354,0.05650,0.05650,0.0008,0.11300
40,0.618,0.0367,0.05780,0.05780,0.0008,0.11560
41,0.634,0.0373,0.05910,0.05910,0.0008,0.11820
42,0.649,0.0385,0.06050,0.06050,0.0008,0.12100
43,0.665,0.0397,0.06180,0.06180,0.0009,0.12360
44,0.681,0.0410,0.06310,0.06310,0.0009,0.12620
